Country,Regional indicator,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Fertility rate,Urban Population (%),Sunshine duration per Year
Lesotho,Sub-Saharan Africa,3.6528000830000003,7.9604883189999995,0.7804957029999999,48.00362396,0.738125861,-0.145732045,0.857392073,2.5,29.0,2835.166111111111
India,South Asia,3.573299885,8.849823952000001,0.592200935,60.21518707,0.8814448709999999,0.057551607000000005,0.772042692,2.35,34.9,2434.15
Malawi,Sub-Saharan Africa,3.538000107,7.062226295,0.544007301,57.59288788,0.803223193,0.021433279,0.731700778,5.39,17.4,2795.866666666667
Yemen,Middle East and North Africa,3.5274000169999997,7.759682655,0.817980587,56.72728348,0.599920273,-0.157735437,0.800287724,3.2,36.6,3130.889666666667
Botswana,Sub-Saharan Africa,3.4788999560000002,9.711203575,0.7791217570000001,58.92445374,0.8213281040000001,-0.250394493,0.777930915,2.45,70.9,3426.6666666666665
Tanzania,Sub-Saharan Africa,3.4762001039999997,7.967665195,0.6889331940000001,57.49607468,0.82153976,0.10966868699999999,0.619799435,4.59,35.2,3032.85
Central African Republic,Sub-Saharan Africa,3.475899935,6.625160217,0.31945985600000004,45.20000076,0.640880644,0.082410358,0.891806662,4.14,42.2,2546.5
Rwanda,Sub-Saharan Africa,3.312299967,7.600104332000001,0.54083544,61.09884644,0.9005894059999999,0.055483952,0.183541179,3.52,17.4,2835.166111111111
Zimbabwe,Sub-Saharan Africa,3.2992000580000003,7.865711688999999,0.7630927559999999,55.61725998,0.711457908,-0.072063953,0.81023699,3.93,32.2,3065.4
South Sudan,Sub-Saharan Africa,2.8166000839999996,7.425359726,0.553707123,51.0,0.451313615,0.016518548,0.7634173040000001,5.54,20.2,2841.3
Afghanistan,South Asia,2.566900015,7.4628605839999995,0.470366955,52.59000015,0.39657300700000003,-0.0964294,0.9336865540000001,4.82,26.0,3175.1
